Qx,MIN_FERR,TX_LAPSE_TOT_MIN,TX_LAPSE_TOT_MAX,FACT_DIM,TX_LAPSE_PART_MIN,TX_LAPSE_PART_MAX,FORWARD_RATE,rendDEX_an,rendMM_an,rendTSX_an,rendSP500_an,rendEAFE_an,AJUST_FORWARD_RATE_VM_0,FRAIS,PC_COMMISSION_VENTE_RF,PC_COMMISSION_VENTE_AC,PC_COMMISSION_MAINTIEN_RF,PC_COMMISSION_MAINTIEN_AC,PC_FRAIS_AN_AC,PC_FRAIS_AN_RF,PC_DEPOT_ANNUEL,VAR_DEPOT_FCT,AGE_MAX_DEPOT,I_EVEN_CESSE_DEPOT,BASE_PASSIF_REDRESSE,TX_PASSIF_REDRESSE,BASE_COUSSIN_CREDIT,TX_COUSSIN_CREDIT,BASE_COUSSIN_MARCHE,TX_COUSSIN_MARCHE,BASE_COUSSIN_DEPENSE,TX_COUSSIN_DEPENSE,BASE_COUSSIN_DECHEANCE,TX_COUSSIN_DECHEANCE,BASE_COUSSIN_MORTALITE,TX_COUSSIN_MORTALITE,BASE_COUSSIN_DEPOT,TX_COUSSIN_DEPOT,FACTEUR_AGE_80,FACTEUR_AGE_90,MT_SP500_PROJ,MT_TSX_PROJ,MT_EAFE_PROJ,MT_DEX_PROJ,MT_MM_PROJ,MT_VM_PROJ,MT_GAR_ECH_PROJ,MT_GAR_DECES_PROJ,MT_BONI_DECES_PROJ,ANNEE_ECH_PROJ,MOIS_ECH_PROJ,TX_SURVIE,MT_SRG_PROJ,MT_BCB_PROJ,MT_MRV_MRG_MRA_PROJ,TAUX_MRV_MRG_MRA_PROJ,MT_MIN_FERR_PROJ,TX_ACTUALISATION,MT_VM,MT_DEX,MT_SP500,MT_TSX,MT_EAFE,MT_MM,AJUSTEMENT_MENSUEL_GAR,MT_RF,PC_REVENU_FDS,PC_RFG,PC_FRAIS_GARANTIE,PC_HONORAIRES_GEST,MT_GAR_ECH,MT_GAR_DECES,MT_BCB,MT_SRG,MT_MRV_MRG_MRA,M_MT_MRV_EXCEDENT,TAUX_MRV_MRG_MRA,MT_BONI_DECES,ID_PRODUIT,I_PRODUIT_REGR,I_PRODUIT_HEDGE,PC_GAR_ECH,PC_GAR_ECH_DEP_FUT,MAX_RESET_FACUL_ECH,RATIO_VM_VG_RESET_ECH,AGE_FIN_CONTRAT,PC_RENOUV_ECH,AGE_MAX_RENOUV_ECH,NB_AN_ECH,AGE_ECH_MIN,PC_GAR_DECES_1,PC_GAR_DECES_2,AGE_CHANG_DECES,FREQ_RESET_DECES,MAX_RESET_DECES,I_RESET_DECES_ECH,PC_BONI_DECES,MAX_BONI_DECES,AGE_MRV_PERMIS,PC_BONI_SRG,FREQ_RESET_SRG,MAX_RESET_SRG,I_FRAIS_SUR_SRG,TABLE_TAUX_MRV_MRG_MRA,MT_TPA_RETRAIT,MT_TPA_DEPOT,AJUSTEMENT_COMMISSION,MOIS_EVALUATION_INI,ANNEE_NAIS,MOIS_NAIS,ANNEE_COTIS,MOIS_COTIS,ANNEE_ECH,MOIS_ECH,I_REGIME,I_REGIME_2,AGE_DECAISSEMENT,I_SEXE,ID_LAPSE,ID_ACQUI,ID_DEPOT,VAR_RETRAIT_FCT,PC_RETRAIT_AGE,MT_RETRAIT_MAX,I_RESET_FACUL_ECH,ID_COMPTE,scn_eval,an_eval,mois_eval,scn_eval_int,an_eval_int,mois_eval_ext,TX_SURVIE_DEB,TX_ACTUALISATION_DEB,VALEUR_MARCHANDE,rc,AJUST_NOUV_AFFAIRES,MT_VM_AV_RETRAIT_FRAIS,duree_max10,VM_VG_RATIO,LAPSE_NIV_PART,LAPSE_NIV_TOT,LAPSE_TOT,LAPSE_PART,LAPSE,annee_reelle,AGE_RETRAIT,AGE,age_MORTALITE,RETRAIT,DEPOT_FUTUR,MT_VM_AV_RETRAIT,PRIMES_GARANTIES,VP_PRIMES_GARANTIES,MT_SRG_AV_RETRAIT,PREST_MRV,VP_PREST_MRV,MT_VM_AP_RETRAIT,MT_VM_AP_RETRAIT_DEPOT,PREST_DECES,VP_PREST_DECES,PREST_ECH,VP_PREST_ECH,PC_COMMISSION_MAINTIEN,PC_COMMISSION_VENTE,PC_FRAIS_AN,COMM_VENTE,VP_COMM_VENTE,FRAIS_ACQUIS,VP_FRAIS_ACQUIS,FRAIS_FIXES,VP_FRAIS_FIXES,HON_GEST,VP_HON_GEST,COMM_MAINTIEN,VP_COMM_MAINTIEN,PRIMES_VARIABLES,VP_PRIMES_VARIABLES,VP_FLUX_TOT,UNITE_COUVERTURE,VALEUR_GARANTIE,DEPOT_FUTUR_SURVIE,VP_VALEUR_MARCHANDE,REM_COMP_INV,CODE_CAT_PRODUIT,CAT_COUSSIN_1,CAT_COUSSIN_2,COUSSIN_DEPENSE,COUSSIN_DECHEANCE,COUSSIN_MORTALITE,PASSIF_REDRESSE,COUSSIN_CREDIT,COUSSIN_MARCHE,COUSSIN_DEPOT,VP_COUSSIN_DEPENSE,VP_COUSSIN_DECHEANCE,VP_COUSSIN_MORTALITE,VP_COUSSIN_DEPOT,VP_PASSIF_REDRESSE,VP_COUSSIN_CREDIT,VP_COUSSIN_MARCHE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.359076352,34.192583994,12.423395943,20.279235956,0.0,132.25429225,93.851279451,125.13503927,,,,1.0,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,0,7,,,7,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.166876119095832e-06,,,,,,,,0.018194079399108887,0.002858822699636221,-0.07422418892383575,0.061072904616594315,0.035694677382707596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.99409484863281,35.04794692993164,12.734179496765137,20.786540985107422,0.0,135.56277465820312,94.53170013427734,126.04226684570312,,,,0.9824411869049072,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,1,7,,,7,1.0,,,,,,,,,,0.09271775186061859,0.09872458875179291,,,,10.0,,0.0,0.9072290062904358,134.65554809570312,0.0,,,0.0,,134.65554809570312,,0.0,,0.0,,,,,-0.0,,0.0,,-4.615326404571533,,-0.0058545940555632114,,-0.0486416332423687,,0.09261272102594376,,,,,,,,,,,,,,,,,,,,,,,,
6.166876119095832e-06,,,,,,,,0.003520270809531212,0.002413066104054451,0.08211159706115723,0.04165428876876831,0.040592703968286514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.58158111572266,36.924739837646484,13.416085243225098,21.89964485168457,0.0,142.8220672607422,95.21212005615234,126.94950103759766,,,,0.9651908278465271,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,1,8,,,8,0.9824411869049072,,,,,,,,,,0.09271713346242905,0.09872450679540634,,,,10.0,,0.0,0.9072290062904358,141.91482543945312,0.0,,,0.0,,141.91482543945312,,0.0,,0.0,,,,,-0.0,,0.0,,-4.5342864990234375,,-0.006061874330043793,,-0.050363775342702866,,0.09589164704084396,,,,,,,,,,,,,,,,,,,,,,,,
6.166876119095832e-06,,,,,,,,0.014616264030337334,0.0020849958527833223,0.0302443727850914,-0.04701516777276993,-0.028168795630335808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.04967498779297,36.6464729309082,13.314981460571289,21.734607696533203,0.0,141.74574279785156,96.09588623046875,128.1278533935547,,,,0.9484952688217163,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,1,9,,,9,0.9651908278465271,,,,,,,,,,0.0901348888874054,0.09872446954250336,,,,10.0,,0.0,1.1783549785614014,140.56739807128906,0.0,,,0.0,,140.56739807128906,,0.0,,0.0,,,,,-0.0,,0.0,,-4.454670429229736,,-0.0058988905511796474,,-0.0495755635201931,,0.09331343322992325,,,,,,,,,,,,,,,,,,,,,,,,
6.166876119095832e-06,,,,,,,,0.0025659173261374235,0.0021116305142641068,-0.006331201177090406,0.04819974675774574,0.013231099583208561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.29307556152344,37.82010269165039,13.741403579711914,22.430675506591797,0.0,146.28526306152344,96.97965240478516,129.30621337890625,,,,0.9320885539054871,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,1,10,,,10,0.9484952688217163,,,,,,,,,,0.09013485908508301,0.09872446209192276,,,,10.0,,0.0,1.1783549785614014,145.10690307617188,0.0,,,0.0,,145.10690307617188,,0.0,,0.0,,,,,-0.0,,0.0,,-4.377614974975586,,-0.005984058603644371,,-0.050291333347558975,,0.0946606919169426,,,,,,,,,,,,,,,,,,,,,,,,
6.166876119095832e-06,,,,,,,,0.018235987052321434,0.005132955498993397,-0.07945246994495392,-0.007219431921839714,0.0527411587536335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.71371459960938,37.51701354980469,13.631280899047852,22.250917434692383,0.0,145.11294555664062,97.86341857910156,130.48455810546875,,,,0.9159656167030334,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,1,11,,,11,0.9320885539054871,,,,,,,,,,0.09013483673334122,0.09872445464134216,,,,10.0,,0.0,1.1783549785614014,143.93458557128906,0.0,,,0.0,,143.93458557128906,,0.0,,0.0,,,,,-0.0,,0.0,,-4.3018927574157715,,-0.0058330390602350235,,-0.0490221343934536,,0.09227175265550613,,,,,,,,,,,,,,,,,,,,,,,,
6.166876119095832e-06,,,,,,,,0.01350165531039238,0.002004314912483096,0.12232216447591782,0.02188551425933838,0.05709591135382652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98612976074219,39.75212478637695,14.443377494812012,23.576536178588867,0.0,153.7581787109375,98.74718475341797,131.6629180908203,,,,0.900895893573761,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,1,12,,,12,0.9159656167030334,,,,,,,,,,0.09013466536998749,0.09031221270561218,,,,11.0,,0.0,1.1783549785614014,152.57981872558594,0.0,,,0.0,,152.57981872558594,,0.0,,0.0,,,,,-0.0,,0.0,,-4.227480411529541,,-0.006076435092836618,,-0.05106768757104874,,0.09612198173999786,,,,,,,,,,,,,,,,,,,,,,,,
1.0417264093121048e-05,,,,,,,,0.021798769012093544,0.0015771094476804137,0.04179598018527031,0.04451242461800575,0.0569467768073082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7368392944336,41.71430587768555,15.1563081741333,24.740283966064453,0.0,161.34774780273438,99.6309585571289,132.84127807617188,,,,0.8860702514648438,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,2,1,,,1,0.900895893573761,,,,,,,,,,0.09013418853282928,0.0903126522898674,,,,11.0,,0.0,1.1783549785614014,160.1693878173828,0.0,,,0.0,,160.1693878173828,,0.0,,0.0,,,,,-0.0,,0.0,,-9.607930183410645,,-0.00627374229952693,,-0.052725899964571,,0.0992431491613388,,,,,,,,,,,,,,,,,,,,,,,,
1.0417264093121048e-05,,,,,,,,-0.017795775085687637,0.002266122028231621,-0.028079532086849213,0.01879686489701271,0.057061851024627686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6651611328125,42.19995880126953,15.332762718200684,25.028318405151367,0.0,163.22621154785156,100.51472473144531,134.01962280273438,,,,0.871488630771637,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,2,2,,,2,0.8860702514648438,,,,,,,,,,0.09013395756483078,0.09031286835670471,,,,11.0,,0.0,1.1783549785614014,162.0478515625,0.0,,,0.0,,162.0478515625,,0.0,,0.0,,,,,-0.0,,0.0,,-9.449816703796387,,-0.006242865696549416,,-0.05246640741825104,,0.09875471889972687,,,,,,,,,,,,,,,,,,,,,,,,
1.0417264093121048e-05,,,,,,,,0.025882447138428688,0.005147423129528761,-0.05014050751924515,0.05758577585220337,0.05580200254917145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.29286193847656,43.574642181396484,15.832234382629395,25.843626022338867,0.0,168.5433807373047,101.39849090576172,135.19798278808594,,,,0.8571469783782959,0.0,,,,,,132.25429225,20.279235956,65.359076352,34.192583994,12.423395943,0.0,0.0,0.0,0.0082504641,0.0082504641,0.0,0.0005213697,93.851279451,125.13503927,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.75,0.75,0.0,0.0,99.0,1.0,99.0,999.0,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2014.0,12.0,2024.0,9.0,2071.0,5.0,0.0,0.0,999.0,0.0,27.0,15.0,13.0,1.0,0.0,0.0,0.0,1,1,2,3,,,3,0.871488630771637,,,,,,,,,,0.09013380855321884,0.09031300246715546,,,,11.0,,0.0,1.1783549785614014,167.36502075195312,0.0,,,0.0,,167.36502075195312,,0.0,,0.0,,,,,-0.0,,0.0,,-9.294305801391602,,-0.006341602187603712,,-0.05329620838165283,,0.1003166139125824,,,,,,,,,,,,,,,,,,,,,,,,
