ID_COMPTE;DEBUG_ACCOUNT_IDX;DEBUG_SCENARIO;AN_EVAL;MOIS_EVAL;PRIMES_GARANTIES;PREST_DECES;PREST_ECH;PREST_MRV;FRAIS_ACQUIS;COMM_VENTE;PRIMES_VARIABLES;FRAIS_FIXES;HON_GEST;COMM_MAINTIEN;VALEUR_MARCHANDE;PASSIF_REDRESSE;COUSSIN_CREDIT;COUSSIN_MARCHE;COUSSIN_DEPENSE;COUSSIN_DECHEANCE;COUSSIN_MORTALITE;COUSSIN_DEPOT;MT_VM;MT_VM_AV_RETRAIT;MT_VM_AP_RETRAIT;AGE;QX;LAPSE_TOT;LAPSE_PART;TX_SURVIE;RETRAIT;DEPOT_FUTUR;MT_GAR_DECES;MT_GAR_ECH;MT_SRG;REND_SP500;REND_TSX;REND_EAFE;REND_DEX;REND_MM;MT_SP500;MT_TSX;MT_EAFE;MT_DEX;MT_MM
1;0;0;1;7;0.0;0.0;0.0;0.0;0.0;-0.0;0.09261272102594376;-4.615326404571533;-0.0058545940555632114;-0.0486416332423687;133.1824493408203;-0.4953165054321289;-0.09906329214572906;-6.4638800621032715;-0.4334019422531128;-2.6004114151000977;-0.38387027382850647;0.0;135.56277465820312;134.65554809570312;134.65554809570312;10.0;6.166876119095832e-06;0.09271775186061859;0.09872458875179291;0.9824411869049072;0.0;0.9072290062904358;126.04226684570312;94.53170013427734;0.0;0.061072904616594315;-0.07422418892383575;0.035694677382707596;0.018194079399108887;0.002858822699636221;66.99409484863281;35.04794692993164;12.734179496765137;20.786540985107422;0.0
1;0;0;1;8;0.0;0.0;0.0;0.0;0.0;-0.0;0.09589164704084396;-4.5342864990234375;-0.006061874330043793;-0.050363775342702866;137.8505401611328;-0.4901219606399536;-0.0980243906378746;-6.396091461181641;-0.4288567304611206;-2.5731401443481445;-0.3798445165157318;0.0;142.8220672607422;141.91482543945312;141.91482543945312;10.0;6.166876119095832e-06;0.09271713346242905;0.09872450679540634;0.9651908278465271;0.0;0.9072290062904358;126.94950103759766;95.21212005615234;0.0;0.04165428876876831;0.08211159706115723;0.040592703968286514;0.003520270809531212;0.002413066104054451;70.58158111572266;36.924739837646484;13.416085243225098;21.89964485168457;0.0
1;0;0;1;9;0.0;0.0;0.0;0.0;0.0;-0.0;0.09331343322992325;-4.454670429229736;-0.0058988905511796474;-0.0495755635201931;134.44517517089844;-0.4861146807670593;-0.09722293168306351;-6.343796253204346;-0.4253503382205963;-2.5521018505096436;-0.37673887610435486;0.0;141.74574279785156;140.56739807128906;140.56739807128906;10.0;6.166876119095832e-06;0.0901348888874054;0.09872446954250336;0.9484952688217163;0.0;1.1783549785614014;128.1278533935547;96.09588623046875;0.0;-0.04701516777276993;0.0302443727850914;-0.028168795630335808;0.014616264030337334;0.0020849958527833223;70.04967498779297;36.6464729309082;13.314981460571289;21.734607696533203;0.0
1;0;0;1;10;0.0;0.0;0.0;0.0;0.0;-0.0;0.0946606919169426;-4.377614974975586;-0.005984058603644371;-0.050291333347558975;136.35081481933594;-0.48209938406944275;-0.09641987085342407;-6.291396617889404;-0.4218369424343109;-2.5310215950012207;-0.3736270070075989;0.0;146.28526306152344;145.10690307617188;145.10690307617188;10.0;6.166876119095832e-06;0.09013485908508301;0.09872446209192276;0.9320885539054871;0.0;1.1783549785614014;129.30621337890625;96.97965240478516;0.0;0.04819974675774574;-0.006331201177090406;0.013231099583208561;0.0025659173261374235;0.0021116305142641068;72.29307556152344;37.82010269165039;13.741403579711914;22.430675506591797;0.0
1;0;0;1;11;0.0;0.0;0.0;0.0;0.0;-0.0;0.09227175265550613;-4.3018927574157715;-0.0058330390602350235;-0.0490221343934536;132.91847229003906;-0.4780775308609009;-0.09561549872159958;-6.2389116287231445;-0.4183178246021271;-2.509906768798828;-0.370510071516037;0.0;145.11294555664062;143.93458557128906;143.93458557128906;10.0;6.166876119095832e-06;0.09013483673334122;0.09872445464134216;0.9159656167030334;0.0;1.1783549785614014;130.48455810546875;97.86341857910156;0.0;-0.007219431921839714;-0.07945246994495392;0.0527411587536335;0.018235987052321434;0.005132955498993397;71.71371459960938;37.51701354980469;13.631280899047852;22.250917434692383;0.0
1;0;0;1;12;0.0;0.0;0.0;0.0;0.0;-0.0;0.09612198173999786;-4.227480411529541;-0.006076435092836618;-0.05106768757104874;138.52011108398438;-0.47445833683013916;-0.09489165991544724;-6.191681385040283;-0.41515102982521057;-2.490906238555908;-0.36770519614219666;0.0;153.7581787109375;152.57981872558594;152.57981872558594;11.0;6.166876119095832e-06;0.09013466536998749;0.09031221270561218;0.900895893573761;0.0;1.1783549785614014;131.6629180908203;98.74718475341797;0.0;0.02188551425933838;0.12232216447591782;0.05709591135382652;0.01350165531039238;0.002004314912483096;75.98612976074219;39.75212478637695;14.443377494812012;23.576536178588867;0.0
1;0;0;2;1;0.0;0.0;0.0;0.0;0.0;-0.0;0.0992431491613388;-9.607930183410645;-0.00627374229952693;-0.052725899964571;142.96543884277344;-0.4708268344402313;-0.0941653624176979;-6.144289970397949;-0.4119734764099121;-2.4718408584594727;-0.36489078402519226;0.0;161.34774780273438;160.1693878173828;160.1693878173828;11.0;1.0417264093121048e-05;0.09013418853282928;0.0903126522898674;0.8860702514648438;0.0;1.1783549785614014;132.84127807617188;99.6309585571289;0.0;0.04451242461800575;0.04179598018527031;0.0569467768073082;0.021798769012093544;0.0015771094476804137;79.7368392944336;41.71430587768555;15.1563081741333;24.740283966064453;0.0
1;0;0;2;2;0.0;0.0;0.0;0.0;0.0;-0.0;0.09875471889972687;-9.449816703796387;-0.006242865696549416;-0.05246640741825104;142.24978637695312;-0.4671863615512848;-0.09343726933002472;-6.0967817306518555;-0.4087880551815033;-2.452728271484375;-0.36206942796707153;0.0;163.22621154785156;162.0478515625;162.0478515625;11.0;1.0417264093121048e-05;0.09013395756483078;0.09031286835670471;0.871488630771637;0.0;1.1783549785614014;134.01962280273438;100.51472473144531;0.0;0.01879686489701271;-0.028079532086849213;0.057061851024627686;-0.017795775085687637;0.002266122028231621;80.6651611328125;42.19995880126953;15.332762718200684;25.028318405151367;0.0
1;0;0;2;3;0.0;0.0;0.0;0.0;0.0;-0.0;0.1003166139125824;-9.294305801391602;-0.006341602187603712;-0.05329620838165283;144.46644592285156;-0.46353819966316223;-0.09270763397216797;-6.049173355102539;-0.40559592843055725;-2.433575391769409;-0.35924211144447327;0.0;168.5433807373047;167.36502075195312;167.36502075195312;11.0;1.0417264093121048e-05;0.09013380855321884;0.09031300246715546;0.8571469783782959;0.0;1.1783549785614014;135.19798278808594;101.39849090576172;0.0;0.05758577585220337;-0.05014050751924515;0.05580200254917145;0.025882447138428688;0.005147423129528761;83.29286193847656;43.574642181396484;15.832234382629395;25.843626022338867;0.0
1;0;0;2;4;0.0;0.0;0.0;0.0;0.0;-0.0;0.0988728404045105;-9.14135456085205;-0.0062503330409526825;-0.05252916365861893;142.3851776123047;-0.45988360047340393;-0.09197670966386795;-6.001480579376221;-0.40239813923835754;-2.414388656616211;-0.35640978813171387;0.0;168.8946533203125;167.71630859375;167.71630859375;11.0;1.0417264093121048e-05;0.09013371914625168;0.09031309187412262;0.8430413603782654;0.0;1.1783549785614014;136.3763427734375;102.28225708007812;0.0;-0.0002978080010507256;-0.009303757920861244;0.02988641895353794;-0.02999589778482914;0.003243999322876334;83.46646118164062;43.66545867919922;15.865232467651367;25.897491455078125;0.0
